Sample,14G1.5M.1,14G1.5M.2,14G1.5M.merged,14G2.6M.1,14G2.6M.2,14G2.6M.merged,14G3.7M.1,14G3.7M.2,14G3.7M.merged,14G4.8M.1,14G4.8M.2,14G4.8M.merged,7G1.1M.1,7G1.1M.2,7G1.1M.merged,7G2.2M.1,7G2.2M.2,7G2.2M.merged,7G3.3M.1,7G3.3M.2,7G3.3M.merged,7G4.4M.1,7G4.4M.2,7G4.4M.merged
Label,14G1,14G1,14G1,14G2,14G2,14G2,14G3,14G3,14G3,14G4,14G4,14G4,7G1,7G1,7G1,7G2,7G2,7G2,7G3,7G3,7G3,7G4,7G4,7G4
protein1,7.984014273,8.46466832,10.34549474,11.71420085,10.98196558,12.06616619,9.936570541,10.58653375,11.12184514,10.45592433,9.12635979,10.23963616,10.08048665,6.635631505,8.1679589,7.572980948,7.807584787,7.638934632,6.939826773,8.780254609,5.989729237,7.024674176,8.378985061,8.108363316
protein2,8.318038186,8.023423469,9.226623272,6.97486707,10.40227498,9.100595539,7.853148648,9.063156827,6.507794063,10.91075318,8.629402347,9.061765537,11.68871058,11.18183592,12.02083118,3.891047078,8.528889872,3.772376973,9.259390508,9.206198186,7.585466677,5.602545219,8.569203024,8.947007182
protein3,7.779123673,7.39260706,8.106367312,8.212270033,8.026790457,6.933684757,7.932825423,7.833068398,8.546673078,9.257281827,8.386838127,6.837369172,7.989327474,7.341741379,8.327620995,7.905196811,10.74301205,10.21575792,8.662124522,12.17495891,11.91954005,9.311323853,8.406882988,10.79790554
protein4,7.797322525,9.052967972,8.977446072,7.987162604,7.631270686,8.301206915,7.609695715,7.602748458,8.890427272,10.63547722,8.120247,9.147450677,6.936964852,8.651435525,7.2609362,9.52049791,8.870778593,9.393042271,10.94459839,10.05388177,11.06919843,8.963064612,9.045132738,7.88887414
protein5,5.90171972,7.524041947,8.653630624,8.729152064,8.635133089,8.76238283,9.005614243,9.006735464,6.625661884,8.036217062,7.087008016,8.38798572,9.866534105,9.719449346,10.34485525,4.830563545,9.113989798,4.707608745,6.742686132,7.777677513,7.445914607,7.436020096,8.001411981,7.85132778
protein6,10.61917013,9.361655327,11.51422011,13.30364192,13.29961579,13.98957826,12.16106482,13.16989098,13.54951089,7.088186253,8.682513027,8.848987484,13.12296414,12.46478456,13.39991474,7.923211848,6.986421838,9.451782211,13.43605115,12.10318384,13.3938046,8.096151859,6.833595549,6.420803277
protein7,7.93134521,7.372318338,7.962627845,8.371937203,4.009560024,8.066803999,6.85668302,7.078073711,9.381035644,8.477291572,7.906224726,8.685526981,8.229549444,9.503878037,9.201961384,8.484772472,7.703088162,7.792308796,7.206796545,7.774680133,6.759273672,7.935964682,7.998499522,6.952421499
protein8,8.227632163,7.466341436,8.824888641,6.984368908,8.337150369,8.022252148,7.076267908,9.332624271,8.397635846,9.039249025,9.43044795,6.734148497,9.122549842,15.30865906,6.251013103,10.34447891,9.306026119,10.6693885,11.35104657,10.38613761,11.44544075,8.360197722,8.23824639,6.733358199
protein9,4.788403595,7.603173148,5.839035826,8.105961312,8.091133581,6.575838578,10.22721882,7.797051229,8.266455747,7.768409477,6.645950351,8.042682852,8.318775089,7.93883504,8.131578301,8.714788651,7.163317149,8.464871629,8.407082132,7.63440627,7.828513747,5.490213387,7.60094298,10.50947422
protein10,4.788403595,7.921510841,5.839035826,7.0660193,8.091133581,7.736019991,10.22721882,6.737469141,8.362421892,9.120018917,8.226262096,9.060727186,7.607920042,10.19447454,8.027075079,6.350747051,5.844184199,7.499237084,9.228749648,8.247082173,6.123450735,5.490213387,8.871478402,7.399634244
protein11,6.668178746,8.107304959,6.431921751,8.342427348,7.79264837,8.380801722,7.875388296,10.04412149,8.998305443,7.367880703,7.575201059,7.028947237,11.5277486,11.15329722,11.91128337,10.08182449,10.22721882,10.83201697,9.903618844,8.869903927,9.693073181,9.024685088,9.159496858,7.917443789
protein12,10.26383406,9.188651303,11.35657605,7.270168327,6.930566053,7.817875054,8.625646551,6.684836647,8.040656042,12.93772449,12.00066803,13.12849237,10.62408902,9.396047794,10.72405335,8.725506112,7.712226328,8.272183939,8.006721161,6.951584672,7.396624888,8.762992003,8.748660682,8.161706869
protein13,10.26383406,9.188651303,11.35657605,8.34041313,8.894760366,9.417708663,8.25757297,6.994329311,7.370503868,12.93772449,12.00066803,13.12849237,10.62408902,9.396047794,10.72405335,6.612384791,7.712226328,7.892547275,8.894693841,7.756444611,10.37282529,7.709996007,9.646600689,7.56566728
protein14,10.26383406,9.188651303,11.35657605,9.138428617,8.516306778,7.280740785,7.742970291,8.803825318,6.889440832,12.93772449,12.00066803,13.12849237,10.62408902,9.396047794,10.72405335,7.567809903,7.712226328,8.499636939,7.138732565,7.870164055,9.10116167,6.436410801,7.999517225,8.999655277
protein15,13.00215417,11.85217016,13.6840552,11.30669702,10.54454154,11.64680327,8.314057525,7.074283758,9.231956687,11.69570624,10.47579609,11.75162408,12.59846502,12.12782131,12.94444487,11.6765537,8.253460239,12.2341699,9.237093076,8.417389434,9.390838311,8.268263467,10.18174263,8.865659221
